Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Paysage de Nîmes avec colonnes,awaiting result,92850,116060,Signed Lower Left,nogiven,Oil / Canvas,68,Bayeux Encheres,"04/22/2019
                ",sold,37.0,24.0
LANDSCAPE IN THE VICINITY OF CAGNES,awaiting result,116060,139270,Signed Lower Left,nogiven,Oil / Canvas,30,Versailles Enchères Perrin-Royère-Lajeunesse,"04/14/2019
                ",sold,45.0,24.0
"a gut, Like the sea",55130,40620,52230,Signed Monogram,nogiven,Oil / Canvas,72,Cambi,"04/02/2019
                ",sold,14.5,14.5
JEUNE FILLE SE PEIGNANT ,2635660,1537200,2562000,Signed Lower Left,1896,Oil / Canvas,1010,Sotheby's Hong Kong,"03/31/2019
                ",sold,47.0,57.2
Paysage,0,102480,192150,Signed Initials,nogiven,Oil / Canvas,695,"China Guardian Hong Kong Auctions, Co","03/30/2019
                ",sold,24.7,16.5
"Nature morte, fleurs, oranges et citrons",1214570,464240,580300,Signed,1888,Oil / Canvas,27,Binoche et Giquello,"03/29/2019
                ",sold,65.5,54.5
Paysage de Normandie,168740,69640,92850,Signed Lower Left,1894,Oil / Canvas,28,Binoche et Giquello,"03/29/2019
                ",sold,32.5,21.0
Nu debout,261140,208910,290150,Signed Lower Left,1910,Oil / Canvas,218,Christie's Paris,"03/29/2019
                ",sold,29.2,36.7
Étude de têtes,12330,17410,23210,Unavailable,1898,Oil / Canvas,222,Christie's Paris,"03/29/2019
                ",sold,6.0,8.3
Esquisse de tête,20310,11610,17410,Signed Monogram,1898,Oil  on canvas joined,224,Christie's Paris,"03/29/2019
                ",sold,8.6,11.0
LA FEMME EN BLEU,488030,406210,522270,Signed,1914,Oil / Canvas,403,Sotheby's Paris,"03/29/2019
                ",sold,25.3,33.2
Nature morte aux pêches,262500,131250,196880,Signed Lower Left,1905,Oil / Canvas,8,Bonhams Bond Street,"02/28/2019
                ",sold,30.5,20.3
Buste de femme,0,393750,656250,Signed,1911,Oil / Canvas,9,Bonhams Bond Street,"02/28/2019
                ",sold,28.5,36.7
Arbres au bord de l'eau et voilier,90230,78750,105000,Stamped,1985,Watercolor / Paper,314,"Christie's London, King Street","02/28/2019
                ",sold,23.0,16.7
Vase d'anémones,1117270,328130,459380,Signed Lower Right,1910,Oil / Canvas,423,"Christie's London, King Street","02/28/2019
                ",sold,44.2,31.5
Lavandières au bord du Loup,408520,459380,721880,Stamped,1917,Oil / Canvas,426,"Christie's London, King Street","02/28/2019
                ",sold,55.6,47.0
"Jeune paysanne mangeant une pomme, Gabrielle Dufour",278910,196880,262500,Signed Lower Right,1891,Oil / Canvas,427,"Christie's London, King Street","02/28/2019
                ",sold,38.4,63.5
Le Béal,566020,393750,656250,Signed Lower Left,1905,Oil / Canvas,428,"Christie's London, King Street","02/28/2019
                ",sold,57.0,46.0
Paysage arboré,213280,196880,262500,Unavailable,1916,Oil / Canvas,431,"Christie's London, King Street","02/28/2019
                ",sold,39.5,28.0
"Tête de femme, Jeanne Samary",164060,131250,196880,Signed and Dated,1877,Oil  on MacLean cement,433,"Christie's London, King Street","02/28/2019
                ",sold,32.5,32.5
Nature morte aux pommes et à poire,392770,328130,459380,Signed Lower Right,1889,Oil / Canvas,460,"Christie's London, King Street","02/28/2019
                ",sold,31.0,22.0
Sentier dans le bois,16657270,9843750,13781250,Signed Lower Left,1874-1877,Oil / Canvas,8,"Christie's London, King Street","02/27/2019
                ",sold,54.0,65.5
Femme demi-nue ,0,1312500,1968750,Signed Lower Left,1879-1880,Pastel / Paper,46,"Christie's London, King Street","02/27/2019
                ",sold,47.2,61.6
PAYSAGE - ARBRE AUX COLLETTES,159140,157500,236250,Signed Lower Right,1915,Oil / Canvas,143,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,25.2,21.3
JEUNE REGARDANT UNE ROSE,744190,459380,590630,Signed Lower Left,1879-80,Pastel / Paper,165,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,46.3,61.6
BUSTE DE FEMME - FRAGMENT,65630,52500,78750,Stamped,1916,Oil / Canvas,242,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,15.0,13.5
ROSES - FRAGMENT,0,52500,78750,Signed Initials,1916,Oil / Canvas,244,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,14.2,13.7
NATURE MORTE AUX POMMES ET MANDARINES,328130,288750,420000,Signed Lower Left,1907,Oil / Canvas,347,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,49.3,23.4
PAYSAGE À CAGNES - FRAGMENT,213280,196880,262500,Stamped,1916,Oil / Canvas,350,"Sotheby's London, New Bond Street","02/27/2019
                ",sold,38.6,24.5
Paysage du midi vers 1910 ou Le Jardin des Collettes à Cagnes-sur-Mer.,235600,116060,174090,Stamped,nogiven,Oil / Canvas,45,Guillaume Le Floc'h (Paris & Saint-Cloud),"02/17/2019
                ",sold,44.0,29.0
Paysage aux arbres.,156680,46420,69640,Stamped,nogiven,Oil / Canvas,46,Guillaume Le Floc'h (Paris & Saint-Cloud),"02/17/2019
                ",sold,18.0,29.0
"Paysage, au premier plan fleurs grimpantes, au fonds maisons, 1900",128250,92850,139270,Stamped,1900,Oil / Canvas,2,Pierre Berge,"12/19/2018
                ",sold,28.2,29.3
"OLIVERAIE SUR LA RIVIERA FRANCAISE, ",0,250000,350000,Signed Lower Left,1910-15,Oil / Canvas,869,Sloans and Kenyon,"12/14/2018
                ",sold,40.01,30.18
Fillette au tablier rose et bleu,0,150880,208910,Unavailable,nogiven,Pastel / Paper,136,Eve Auctions,"12/06/2018
                ",sold,35.0,42.5
"Still Life with Onions, 1917",0,191500,232120,Inscribed and Signed,1917,Oil / Canvas,41,Rossini,"12/04/2018
                ",sold,31.5,18.0
"Paysage, 1880",0,81240,127670,Signed Lower Right,1880,Oil / Canvas,635,Farsettiarte,"12/01/2018
                ",sold,31.0,19.3
"Femme nue assise vue de trois-quarts , 1915–19",513220,197300,255330,Stamped,1914-19,Oil / Canvas,101,"Dorotheum, Vienna","11/28/2018
                ",sold,26.0,31.0
FEMME AU JARDIN,1395000,1000000,1500000,Signed Lower Left,1890,Oil / Canvas,134,Sotheby's New York,"11/13/2018
                ",sold,54.61,65.41
PAYSAGE,0,150000,250000,Stamped,1895,Oil / Canvas,284,Sotheby's New York,"11/13/2018
                ",sold,32.08,19.05
JETÉ DE ROSES,855000,350000,550000,Signed Lower Right,1915,Oil / Canvas,398,Sotheby's New York,"11/13/2018
                ",sold,27.94,32.08
JEUNE PAYSANNE,137500,120000,180000,Signed Lower Right,1885,Oil / Canvas,416,Sotheby's New York,"11/13/2018
                ",sold,17.15,33.35
PAYSAGE,150000,120000,180000,Stamped,1894,Oil / Canvas,417,Sotheby's New York,"11/13/2018
                ",sold,33.02,19.69
PORTRAIT DE FEMME EN CHAPEAU DE PAILLE ,405000,325000,375000,Signed Lower Left,1882,Oil / Canvas on board,418,Sotheby's New York,"11/13/2018
                ",sold,20.32,22.56
GABRIELLE,0,300000,500000,Signed,1890,Pastel / Paper,419,Sotheby's New York,"11/13/2018
                ",sold,46.36,55.58
PAYSAGE D'ESSOYES,399000,200000,300000,Signed Lower Left,1888,Oil / Canvas,426,Sotheby's New York,"11/13/2018
                ",sold,53.04,40.97
PAYSAGE PRÈS DE CAGNES,0,180000,250000,Stamped,1910,Oil / Canvas,427,Sotheby's New York,"11/13/2018
                ",sold,36.2,22.86
LA MER À BORDIGHERA,1215000,1200000,1800000,Stamped,1888,Oil / Canvas,43,Sotheby's New York,"11/12/2018
                ",sold,43.51,27.94
PORTRAIT DE MADAME ADELA OCAMPO DE HEIMENDHAL,1095000,1000000,1500000,Signed and Dated,1880,Oil / Canvas,45,Sotheby's New York,"11/12/2018
                ",sold,53.98,64.77
"Port de pêche, Vue de Fontarabie depuis Hendaye",564500,400000,600000,Stamped,1895,Oil / Canvas,261,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,41.61,31.45
Jeune femme tenant sa robe,0,500000,700000,Signed Lower Left,1877,Oil / Canvas,266,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,25.1,58.42
"Sucrier, gobelet, cuillère et couteau",0,120000,180000,Signed,1910,Oil / Canvas,270,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,31.12,19.69
Nu assis,0,350000,550000,Signed Lower Left,1900-1902,Oil / Canvas,274,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,33.66,30.48
Paysage,0,180000,250000,Signed Lower Right,1905,Oil / Canvas,402,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,24.77,20.02
Esquisse de paysage ,150000,180000,250000,Stamped,1919,Oil / Canvas,408,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,40.97,32.08
Jeune fille assise dans une véranda,0,150000,250000,Signed Lower Left,1900,Oil / Canvas,409A,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,22.86,26.67
Femme au chapeau bleu,50000,30000,50000,Signed Initials,1876,Oil / Canvas,448,"Christie's New York, Rockefeller Center","11/12/2018
                ",sold,9.22,11.43
Portrait de femme ,1692500,1200000,1800000,Signed,1894,Oil / Canvas,18A,"Christie's New York, Rockefeller Center","11/11/2018
                ",sold,65.1,91.77
Baigneuse assise,2532500,1200000,1800000,Signed Lower Right,1890,Oil / Canvas,45A,"Christie's New York, Rockefeller Center","11/11/2018
                ",sold,38.43,46.36
"OLIVERAIE SUR LA RIVIERA FRANCAISE, ",0,250000,350000,Signed Lower Left,1910/15,Oil / Canvas,1543,Sloans and Kenyon,"11/09/2018-11/10/2018
                ",sold,40.01,30.18
NATURE MORTE AU MELON,0,174090,232120,Signed Lower Right,nogiven,Oil / Canvas,318,Sotheby's Paris,"10/19/2018
                ",sold,37.0,22.2
PORTRAIT DU BARON BARBIER,275060,290150,406210,Signed,1877,Oil / Canvas,111,Sotheby's Paris,"10/18/2018
                ",sold,16.4,17.6
"PAYSAGE, AU PREMIER PLAN FLEURS GRIMPANTES, AU FOND MAISONS",0,139270,208910,Stamped,1900,Oil / Canvas,146,Sotheby's Paris,"10/18/2018
                ",sold,28.2,29.3
La poste à Cagnes,0,39380,65630,Unavailable,1905,Oil / Canvas,28,Bonhams Bond Street,"10/11/2018
                ",sold,10.2,12.0
Paysage - Les Arbres. Circa 1915.,132690,70100,90130,Signed Monogram,1915,Oil / Canvas,3213,"Galerie Koller, AG, Zurich","06/29/2018
                ",sold,21.3,19.0
Portrait de Gabrielle en Blouse blanche. Circa 1910.,0,200280,300420,Signed Monogram,1910,Oil / Canvas,3243,"Galerie Koller, AG, Zurich","06/29/2018
                ",sold,22.5,30.0
"Valle´e de la Cagnes, le Baou de Saint-Jeannet",173510,139270,208910,Stamped,nogiven,Oil / Canvas,10,Leclere Marseille,"06/25/2018
                ",sold,31.0,21.0
Tulipes,90230,45940,72190,Unavailable,1912,Oil / Canvas,320,"Christie's London, King Street","06/21/2018
                ",sold,18.0,17.4
Petit fille au chapeau jaune,65630,52500,78750,Signed Lower Right,nogiven,Oil / Canvas,381,"Christie's London, King Street","06/21/2018
                ",sold,10.3,12.7
"Femme nue debout, s'essuyant la jambe",672980,328130,459380,Signed Lower Right,1909,Oil / Canvas,389,"Christie's London, King Street","06/21/2018
                ",sold,46.2,55.1
Tête de jeune fille,1192730,918750,1312500,Signed,1882,Oil / Canvas,36,"Christie's London, King Street","06/20/2018
                ",sold,31.7,41.0
POMMES,0,262500,393750,Signed Lower Left,1898,Oil / Canvas,134,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,32.5,24.0
LES BORDS DE LA MEDITERRANÉE,295310,196880,262500,Signed Lower Left,1887-91,Oil / Canvas,135,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,46.0,25.0
"TÊTES, ARBRES ET FRUITS",114840,78750,105000,Stamped,1892,Oil / Canvas,218,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,32.0,30.6
VILLAGE AU BORD DE LA MER - L'ÉGLISE À VARENGEVILLE,359630,157500,236250,Signed Lower Left,1880,Oil / Canvas,365,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,42.0,33.0
CLOCHER D'ESSOYES,0,157500,236250,Signed Lower Left,1895,Oil / Canvas,368,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,31.5,20.5
BUSTE DE FEMME - FRAGMENT,0,32810,45940,Unavailable,1895,Oil / Canvas,371,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,16.0,24.2
PAYSAGE,90230,65630,91880,Signed Initials,nogiven,Oil / Canvas,372,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,25.1,16.5
BUSTE DE JEUNE FEMME - FRAGMENT,0,39380,65630,Unavailable,1895,Oil / Canvas,428,"Sotheby's London, New Bond Street","06/20/2018
                ",sold,13.0,15.5
APRÈS LA TEMPÊTE ,800630,459380,590630,Signed Lower Right,1872,Oil / Canvas,27,"Sotheby's London, New Bond Street","06/19/2018
                ",sold,56.0,46.8
Femme nue debout,0,41720,47680,Signed,nogiven,Oil / Canvas,909,Uppsala Auktionskammare,"06/14/2018
                ",sold,16.0,21.5
Rose,70400,70400,105600,Unavailable,1915,Oil / Canvas,922,Mainichi Auction Inc.,"06/09/2018
                ",sold,12.0,6.2
Tete de jeuna fille,not communicated,26400,35200,Unavailable,nogiven,Oil / Canvas,123,Shinwa Art Auction,"05/19/2018
                ",sold,11.0,9.5
Vue de Bretagne,100000,80000,120000,Signed Lower Right,1892-94,Oil / Canvas,332,"Christie's New York, Rockefeller Center","05/16/2018
                ",sold,28.91,16.84
Etude pour La Place Clichy,225000,200000,300000,Signed Lower Right,1880,Oil / Canvas,338,"Christie's New York, Rockefeller Center","05/16/2018
                ",sold,27.31,35.89
Fleurs variées,312500,300000,500000,Signed Lower Right,nogiven,Oil / Canvas,359,"Christie's New York, Rockefeller Center","05/16/2018
                ",sold,42.24,20.96
PORTRAIT DE FEMME,250000,250000,350000,Signed and Dated,1899,Oil / Canvas,131,Sotheby's New York,"05/15/2018
                ",sold,18.11,23.5
NATURE MORTE AUX POMMES ET GRENADE,262500,180000,250000,Signed Lower Right,1910,Oil / Canvas,132,Sotheby's New York,"05/15/2018
                ",sold,33.99,25.4
PORTRAIT DE JEAN RENOIR,0,300000,400000,Signed Lower Right,1910,Oil / Canvas,388,Sotheby's New York,"05/15/2018
                ",sold,25.4,30.48
BUSTE DE FEMME NUE,60000,50000,70000,Stamped,1916,Oil  on canvas laid down on panel laid down on panel,394,Sotheby's New York,"05/15/2018
                ",sold,14.61,20.96
Anemones ,145200,52800,70400,Signed,nogiven,Oil / Canvas,1070,Mainichi Auction Inc.,"05/11/2018-05/12/2018
                ",sold,25.0,20.3
Vase d'anémones,828500,600000,800000,Signed Lower Right,1892,Oil / Canvas on board,543,"Christie's New York, Rockefeller Center","05/10/2018
                ",sold,25.4,33.02
Gabrielle au miroir,9087500,7000000,10000000,Signed Lower Left,1910,Oil / Canvas,22,"Christie's New York, Rockefeller Center","05/08/2018
                ",sold,64.14,80.98
The mullet,78920,69640,92850,Unavailable,nogiven,Oil / Canvas,5,Hotel Des Ventes De Monte-Carlo,"05/06/2018
                ",sold,41.0,23.5
SUCRIER. FRAGMENT,0,46420,69640,Signed Lower Left,nogiven,Oil / Canvas,214,Sotheby's Paris,"03/23/2018
                ",sold,21.0,13.6
Paysage de Cagnes,322070,290150,406210,Signed Lower Right,1905,Oil / Canvas,226,Christie's Paris,"03/23/2018
                ",sold,42.2,36.0
Fleurs,145080,116060,174090,Signed Monogram,1915,Oil / Canvas,230,Christie's Paris,"03/23/2018
                ",sold,29.0,32.2
FEMME ASSISE DANS UNE BARQUE - FRAGMENT,58030,46420,69640,Inscribed,1890,Watercolor / Paper,1,Sotheby's Paris,"03/22/2018
                ",sold,23.7,30.6
Etude veste de toréador,31680,23210,34820,Unavailable,nogiven,Oil / Canvas,60,Millon & Associes,"03/21/2018
                ",sold,16.0,22.0
Portrait de femme,0,6960,9280,Signed Monogram,nogiven,Oil / Canvas,240,Boisgirard-Antonini (Paris),"03/07/2018
                ",sold,13.9,14.3
Paysage aux environs de Saint-Tropez,0,92850,116060,Signed Lower Right,nogiven,Oil / Canvas,241,Boisgirard-Antonini (Paris),"03/07/2018
                ",sold,35.1,24.3
Fraises,82030,65630,91880,Unavailable,1908,Oil / Canvas,64,Bonhams Bond Street,"03/01/2018
                ",sold,20.2,10.6
Trois roses,123050,91880,131250,Signed Lower Right,1915-1919,Oil / Canvas,65,Bonhams Bond Street,"03/01/2018
                ",sold,18.7,17.7
"Esquisse de la Maison de la Poste, fragment",73830,52500,78750,Stamped,1907,Oil / Canvas,81,Bonhams Bond Street,"03/01/2018
                ",sold,19.1,16.0
ESQUISSE DE FLEURS,547310,367500,459380,Stamped,1910-1,Oil / Canvas,167,"Sotheby's London, New Bond Street","03/01/2018
                ",sold,45.1,43.2
BUSTE DE FEMME ,1145810,525000,787500,Stamped,1917,Oil / Canvas,169,"Sotheby's London, New Bond Street","03/01/2018
                ",sold,50.2,39.7
ÉTUDE DE NUS - FRAGMENT,65630,52500,78750,Unavailable,1895,Oil / Canvas,177,"Sotheby's London, New Bond Street","03/01/2018
                ",sold,16.5,22.9
FAÏENCES DÉCORÉES,108280,105000,157500,Stamped,1916,Oil / Canvas,179,"Sotheby's London, New Bond Street","03/01/2018
                ",sold,31.2,18.0
PAYSAGE - FRAGMENT,0,78750,105000,Unavailable,nogiven,Oil / Canvas,347,"Sotheby's London, New Bond Street","03/01/2018
                ",sold,30.1,19.3
ŒDIPE ROI,155860,91880,118130,Stamped,1895,Oil / Canvas,406,"Sotheby's London, New Bond Street","03/01/2018
                ",sold,28.1,29.0
Nature morte aux deux pommes,82030,52500,78750,Signed Lower Left,1903-1905,Oil / Canvas,417,"Christie's London, King Street","02/28/2018
                ",sold,17.8,13.7
"Paysage, chemin à la sortie d'un bois",196880,157500,236250,Stamped,1895-1900,Oil / Canvas,426,"Christie's London, King Street","02/28/2018
                ",sold,31.3,22.2
Claude Renoir jouant aux constructions,672980,288750,420000,Stamped,1903-1904,Oil / Canvas,534,"Christie's London, King Street","02/28/2018
                ",sold,21.9,25.9
Artichauts et tomates,483980,525000,787500,Signed and Dated,1887,Oil / Canvas,40,"Christie's London, King Street","02/27/2018
                ",sold,55.2,45.8
Portrait de Madame Josse Bernheim-Dauberville ,1302980,787500,1181250,Signed and Dated,1901,Oil / Canvas,41,"Christie's London, King Street","02/27/2018
                ",sold,73.0,92.2
Deux sirenes,1936000,1760000,2640000,Signed Lower Left,1916,Oil / Canvas,347,Mainichi Auction Inc.,"01/20/2018
                ",sold,51.0,59.2
"Portrait de Georgette-Marie  Malivernet, 1896",0,232120,348180,Signed,nogiven,Oil / Canvas,5,Hotel Des Ventes De Monte-Carlo,"12/13/2017
                ",sold,34.0,68.0
"Paysage, chemin à la sortie d'un bois",134630,92850,139270,Signed Lower Left,1895-1900,Oil / Canvas,162,"Conan Hôtel d'Ainay, Lyon","12/03/2017
                ",sold,31.5,22.0
VACHES AU PATURAGE,0,116060,174090,Signed Lower Right,nogiven,Oil / Canvas,3,"Tajan, Paris","11/29/2017
                ",sold,40.0,31.5
Tete d'enfant ou enfant a la mariniere,584250,250000,280000,Signed,1905,Oil / Canvas,10,Matsart Auctioneers & Appraisers,"11/29/2017
                ",sold,24.0,16.0
Corbeille de pêches et raisins ,0,0,0,Signed and Dated,1881,Oil / Canvas,11,"Tajan, Paris","11/29/2017
                ",sold,65.0,54.0
Head of a young girl,0,580300,812420,Signed,1895,Oil / Canvas,32,Artcurial,"11/27/2017
                ",sold,33.0,41.0
"""Bather"" 1900",not communicated,116060,174090,Signed Monogram,1900,Pastel / Paper,83a,Chaville Encheres,"11/26/2017
                ",sold,44.0,55.0
Paysage,0,13930,17410,Signed Initials,nogiven,Oil / Canvas,61,Doutrebente,"11/17/2017
                ",sold,12.0,7.0
Paysage avec maison,0,17410,23210,Signed Initials,nogiven,Oil / Canvas,62,Doutrebente,"11/17/2017
                ",sold,27.0,21.0
BUSTE DE FEMME,350000,350000,450000,Signed,1912,Oil / Canvas,138,Sotheby's New York,"11/15/2017
                ",sold,32.72,40.64
PAYSAGE DU MIDI,639000,600000,800000,Signed Lower Right,1885,Oil / Canvas,139,Sotheby's New York,"11/15/2017
                ",sold,55.25,36.53
"ÉTUDE POUR ""LA DANSE À LA CAMPAGNE""",375000,300000,500000,Signed Initials,1883,"Watercolor  , ink wash and pencil / Paper",142,Sotheby's New York,"11/15/2017
                ",sold,27.94,44.45
FEMME LISANT,0,700000,900000,Unavailable,1894,Oil / Canvas,148,Sotheby's New York,"11/15/2017
                ",sold,33.35,41.61
LE JARDIN DES TUILERIES,687000,600000,800000,Signed Lower Right,Apri1875,Oil / Canvas,149,Sotheby's New York,"11/15/2017
                ",sold,29.85,21.59
FEMME NUE À SA TOILETTE,0,400000,600000,Stamped,1895,Oil / Canvas,255,Sotheby's New York,"11/15/2017
                ",sold,20.96,33.02
ROSES DANS UN VASE,495000,400000,600000,Stamped,1913,Oil / Canvas,256,Sotheby's New York,"11/15/2017
                ",sold,43.18,41.28
FLEURS,137500,80000,120000,Stamped,1915,Oil / Canvas,257,Sotheby's New York,"11/15/2017
                ",sold,21.59,22.56
PORTRAIT DE JEUNE FILLE,87500,80000,120000,Stamped,1900,Oil / Canvas,258,Sotheby's New York,"11/15/2017
                ",sold,14.94,18.11
MADEMOISELLE HENRIOT OU JEUNE FILLE AU RUBAN BLEU,5421400,2000000,3000000,Unavailable,1876,Oil / Canvas,29,Sotheby's New York,"11/14/2017
                ",sold,33.02,41.91
BAIGNEUSE ,1695000,2000000,3000000,Signed Lower Left,1882,Oil / Canvas,33,Sotheby's New York,"11/14/2017
                ",sold,41.91,54.94
Femme nue assise,68750,40000,60000,Unavailable,1900,Oil / Canvas,330,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,16.51,19.38
"Femme nue debout, s'essuyant la jambe",0,500000,800000,Signed Lower Right,1909,Oil / Canvas,334,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,46.05,55.25
Chemin aux Collettes avec tilleul,708500,500000,700000,Stamped,1914,Oil / Canvas,340,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,46.99,33.99
Roses dans un vase de fleurs,432500,300000,500000,Signed Lower Right,nogiven,Oil / Canvas,352,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,36.83,42.24
La maison de la poste à Cagnes,456500,250000,350000,Signed Lower Left,1907,Oil / Canvas,424,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,46.36,32.08
"Portrait de Claude Renoir, fils de Pierre Renoir",0,400000,600000,Stamped,1918,Oil / Canvas,433,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,30.18,34.62
Fillette lisant,372500,300000,500000,Signed Lower Left,1910,Oil / Canvas,503,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,24.13,30.48
Trois pommes,0,70000,100000,Signed Initials,1907,Oil / Canvas,518,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,21.92,11.43
Coupe de fruits,348500,250000,350000,Signed,1897,Oil / Canvas,527,"Christie's New York, Rockefeller Center","11/14/2017
                ",sold,38.1,24.46
Jeune fille se peignant ,2352500,2500000,3500000,Signed and Dated,1894,Oil / Canvas,22A,"Christie's New York, Rockefeller Center","11/13/2017
                ",sold,46.36,55.25
"Buste de femme, de profil",8187500,7000000,10000000,Signed and Dated,1884,Oil / Canvas,25A,"Christie's New York, Rockefeller Center","11/13/2017
                ",sold,54.31,65.1
Deux femmes dans une roseraie,149760,117460,176190,Signed Lower Right,nogiven,Oil / Canvas,15,Claude Aguttes,"10/23/2017
                ",sold,47.5,13.0
Portrait de jeune fille blonde.,0,29530,35440,Signed,nogiven,Oil / Canvas,61,SGL Encheres,"10/01/2017
                ",sold,12.2,14.0
COWS IN PASTURE,0,178930,223660,Signed Lower Right,nogiven,Oil / Canvas,1,"Tajan, Paris","06/28/2017
                ",sold,40.0,31.5
Nature morte,0,67100,89460,Signed,nogiven,Oil / Canvas,105,The Bru Sale Gallery,"06/28/2017
                ",sold,33.0,19.5
Suzanne et Jean,220370,191070,318450,Signed Initials,1895,Pastel / Paper,214,"Christie's London, King Street","06/28/2017
                ",sold,31.5,43.3
"Paysage, le chemin et deux figures",151260,101900,152860,Signed Lower Left,1917,Oil / Canvas,361,"Christie's London, King Street","06/28/2017
                ",sold,46.5,23.5
Le faisan,847080,636900,1019040,Signed Lower Right,1879,Oil / Canvas,12,"Christie's London, King Street","06/27/2017
                ",sold,65.0,49.5
Tête d'enfant ou enfant à la marinière,0,229280,280240,Signed,1905,Oil / Canvas,25,Bonhams Bond Street,"06/22/2017
                ",sold,16.0,24.2
Tête de femme de profile,79610,63690,89170,Signed Lower Left,1900,Oil / Canvas,26,Bonhams Bond Street,"06/22/2017
                ",sold,15.4,11.5
LA GUITARISTE,0,89170,127380,Signed Initials,1896,Oil / Canvas,371,"Sotheby's London, New Bond Street","06/22/2017
                ",sold,32.0,35.5
PORTRAIT DU COLONEL HOWARD JENKS,191070,191070,318450,Signed and Dated,1865,Oil / Canvas,372,"Sotheby's London, New Bond Street","06/22/2017
                ",sold,60.4,74.3
TÊTE,68750,50000,70000,Signed Initials,nogiven,Oil / Canvas,4,Sotheby's New York,"06/08/2017
                ",sold,13.03,9.86
Buste de femme  - 1905,91540,39120,50300,Stamped,1905,Oil / Canvas,64,Artcurial,"05/31/2017
                ",sold,14.5,24.0
"Maison à Montmartre, Tête de Garconnet, Fillettes",139710,111770,167660,Stamped,1893,Oil / Canvas,403,Karl & Faber Kunstauktionen,"05/31/2017
                ",sold,28.0,29.0
Paysage et figures,231040,111400,167100,Signed Lower Right,nogiven,Oil / Canvas,3,Artcurial,"05/30/2017
                ",sold,25.0,20.5
Naure Morte aux Roses,123590,135000,270000,Signed Lower Right,nogiven,Oil / Canvas,35,Seoul Auction,"05/28/2017
                ",sold,20.5,22.0
FORÉT D'ARGENTEUIL / FOREST IN ARGENTEUIL,103290,86240,149600,Signed Lower Right,nogiven,Oil / Canvas,250,"Est-Ouest Auctions Co., Ltd.","05/28/2017-05/29/2017
                ",sold,32.8,21.3
Entrée des Collettes,163590,87250,130870,Signed Lower Right,1908,Oil / Canvas,656,Farsettiarte,"05/27/2017
                ",sold,28.6,19.7
La maison de l'artiste,130870,98150,152680,Signed Lower Left,nogiven,Oil / Canvas,657,Farsettiarte,"05/27/2017
                ",sold,30.0,26.0
Les fruits,0,150000,200000,Signed,nogiven,Oil / Canvas,7,Bonhams New York,"05/17/2017
                ",sold,21.29,14.3
FILLE AU CORSET BLEU ,0,400000,600000,Signed Lower Left,1890,Pastel / Paper on board,153,Sotheby's New York,"05/17/2017
                ",sold,44.78,61.29
LA CAFETIÈRE,150000,150000,250000,Signed Lower Right,1900,Oil / Canvas,154,Sotheby's New York,"05/17/2017
                ",sold,22.23,26.37
PORTRAIT DE STÉPHANE MALLARMÉ,0,400000,600000,Signed,1892,Oil / Canvas,194,Sotheby's New York,"05/17/2017
                ",sold,21.59,27.0
BUSTE DE FEMME NUE,81250,60000,80000,Stamped,1912,Oil / Canvas,201,Sotheby's New York,"05/17/2017
                ",sold,16.21,18.11
"PAYSAGE AVEC MAISONS, CAGNES",115000,80000,120000,Unavailable,1905,Oil / Canvas,202,Sotheby's New York,"05/17/2017
                ",sold,31.45,18.11
ANÉMÔNES,492500,350000,450000,Signed Initials,nogiven,Oil / Canvas,205,Sotheby's New York,"05/17/2017
                ",sold,46.05,24.77
PAYSAGE DE BORD DE MER,212500,180000,250000,Stamped,1900,Oil / Canvas,206,Sotheby's New York,"05/17/2017
                ",sold,40.64,27.31
