Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,Size,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
Untitled: Portrait,6980,900,0,Signed Initials,15.24 x 11.43,1904,Pencil / Paper,238,Mastro Auctions (see Legendary Auctions),"04/21/2004
                ",sold,11.43,15.24
"House and Trees, Gloucester",253900,150000,250000,Signed,30.48 x 45.72,nogiven,Charcoal / Paper,71,"Christie's New York, Rockefeller Center","05/22/2003
                ",sold,45.72,30.48
Lime Rock Quarry II,209100,250000,350000,Inscribed,35.56 x 50.80,nogiven,Watercolor / Paper,78,"Christie's New York, Rockefeller Center","05/22/2003
                ",sold,50.8,35.56
House on Hill Top,596000,500000,700000,Signed,35.56 x 50.80,1930,Watercolor / Paper,19,Sotheby's New York,"05/21/2003
                ",sold,50.8,35.56
Spindley Locusts,0,300000,400000,Signed,51.31 x 65.28,nogiven,Watercolor / Paper,129,Sotheby's New York,"05/21/2003
                ",sold,65.28,51.31
Clamdigger,1439500,1500000,2500000,Unsigned,62.23 x 76.20,nogiven,Oil / Canvas,117,"Christie's New York, Rockefeller Center","12/05/2002
                ",sold,76.2,62.23
Standing Man with a Moustache,38240,20000,30000,Signed,27.94 x 19.05,1901,Mixed Media / Paper,189,"Christie's New York, Rockefeller Center","12/05/2002
                ",sold,19.05,27.94
Oregon Coast,504500,500000,700000,Signed,50.04 x 69.85,nogiven,Watercolor / Paper,206,"Christie's New York, Rockefeller Center","12/05/2002
                ",sold,69.85,50.04
Shacks at Pamet Head,0,800000,1200000,Signed,50.80 x 55.88,1937,Watercolor / Paper,76,Sotheby's New York,"12/04/2002
                ",sold,55.88,50.8
Study for Seawatchers,0,40000,60000,Unsigned,38.10 x 32.26,1952,Charcoal / Paper,84,Sotheby's New York,"12/04/2002
                ",sold,32.26,38.1
A Bend in the Road,0,30000,40000,Unsigned,26.67 x 40.64,nogiven,Colored Pencil / Paper,87,Sotheby's New York,"12/04/2002
                ",sold,40.64,26.67
Indian,38840,15000,25000,Signed,28.45 x 17.78,1901,Mixed Media / Paper,156,Sotheby's New York,"12/04/2002
                ",sold,17.78,28.45
Golfers,22000,3000,5000,Signed and Dated,27.94 x 17.78,1899,Ink / Paper,364,"Christie's New York, Rockefeller Center","09/04/2002
                ",sold,17.78,27.94
"Wagon wheels farm, South Royalton, Vermont",19000,0,0,Unavailable,20.32 x 27.94,nogiven,Ink / Paper,113,Freeman's,"07/27/2002
                ",sold,27.94,20.32
Man in long coat holding a top hat and cane,0,5000,8000,Inscribed,31.50 x 21.34,nogiven,Pencil / Paper,84,Pook & Pook Inc.,"06/14/2002
                ",sold,21.34,31.5
A cleaning woman wearing an apron and holding a broom,2500,6000,8000,Signed,38.10 x 28.58,nogiven,Pencil / Paper,84A,Pook & Pook Inc.,"06/14/2002
                ",sold,28.58,38.1
A seated woman in a gown,2000,6000,8000,Signed,31.50 x 21.34,1902,Pencil / Paper,84B,Pook & Pook Inc.,"06/14/2002
                ",sold,21.34,31.5
A colonial gentleman seated in a chair,2500,5000,7000,Unsigned,38.10 x 25.40,nogiven,Pencil / Paper,84C,Pook & Pook Inc.,"06/14/2002
                ",sold,25.4,38.1
A woman with veiled hat and long dress,3000,5000,7000,Unsigned,35.56 x 25.40,nogiven,Pencil / Paper,84D,Pook & Pook Inc.,"06/14/2002
                ",sold,25.4,35.56
The torso of a woman wearing a dress and bonnet,0,4000,6000,Unsigned,36.83 x 28.58,nogiven,Pencil / Paper,84E,Pook & Pook Inc.,"06/14/2002
                ",sold,28.58,36.83
Sugar Maple,361500,300000,500000,Signed,35.56 x 50.80,nogiven,Watercolor / Paper,39,"Christie's New York, Rockefeller Center","04/25/2002
                ",sold,50.8,35.56
Study for Cape Cod Morning,0,70000,90000,Inscribed,21.59 x 27.94,nogiven,Crayon / Paper,40,"Christie's New York, Rockefeller Center","04/25/2002
                ",sold,27.94,21.59
Back View of a Nude Male Model,8230,8000,12000,Unsigned,34.29 x 25.91,nogiven,Colored Pencil / Paper,53,"Christie's New York, Rockefeller Center","02/13/2002
                ",sold,25.91,34.29
Mount Moran,501000,600000,800000,Signed,57.15 x 78.74,nogiven,Watercolor / Paper,105,"Christie's New York, Rockefeller Center","11/29/2001
                ",sold,78.74,57.15
Shore Acres,324750,200000,300000,Signed,40.64 x 63.50,1929,Watercolor / Paper,120,Sotheby's New York,"11/28/2001
                ",sold,63.5,40.64
Apple Tree and Stone Wall,690,1400,1800,Signed,21.59 x 19.05,nogiven,Watercolor / Paper,1167,"James D Julia, Inc.","08/22/2001
                ",sold,19.05,21.59
Charleston,1876000,500000,700000,Signed,40.64 x 62.74,nogiven,Watercolor / Paper,53,"Christie's New York, Rockefeller Center","05/23/2001
                ",sold,62.74,40.64
Study of a Seated Woman,10800,12000,18000,Signed,36.83 x 29.21,1899,Ink / Paper,40,Sotheby's New York,"11/30/2000
                ",sold,29.21,36.83
Study of a Standing Woman,0,15000,25000,Signed,57.15 x 35.56,1900,Ink / Paper,41,Sotheby's New York,"11/30/2000
                ",sold,35.56,57.15
Freight Car at Truro,412750,200000,300000,Signed,34.80 x 50.04,1931,Watercolor / Paper,53,Sotheby's New York,"11/30/2000
                ",sold,50.04,34.8
Summer Afternoon,15280,10000,15000,Signed,22.86 x 25.40,nogiven,Colored Pencil / Paper,187,"Christie's New York, ""East""","06/15/2000
                ",sold,25.4,22.86
The Yank,11570,10000,15000,Signed,32.26 x 20.57,nogiven,Colored Pencil / Paper,188,"Christie's New York, ""East""","06/15/2000
                ",sold,20.57,32.26
Male Seated Nude,0,12000,18000,Signed,61.47 x 47.50,nogiven,Charcoal / Paper,145,Sotheby's New York,"03/15/2000
                ",sold,47.5,61.47
Three Drawings On A Single Sheet,4600,10000,15000,Unavailable,24.13 x 30.48,nogiven,Colored Pencil / Paper,146,Sotheby's New York,"03/15/2000
                ",sold,30.48,24.13
Cats,23000,20000,30000,Signed,22.86 x 20.32,nogiven,Pencil / Paper,148,Sotheby's New York,"03/15/2000
                ",sold,20.32,22.86
Hardest Working Dog,5750,7000,10000,Unavailable,19.56 x 24.64,nogiven,Colored Pencil / Paper,150,Sotheby's New York,"03/15/2000
                ",sold,24.64,19.56
"Monhegan House, Maine",244500,125000,175000,Signed on Reverse,24.13 x 32.51,1919,Oil / Board,149,Sotheby's New York,"05/27/1999
                ",sold,32.51,24.13
Reclining Nude,4025,2000,3000,Signed,25.40 x 17.78,1903,Ink / Paper,181,"Sotheby's New York, Arcade","03/30/1999
                ",sold,17.78,25.4
Golfer and Lady,11500,5000,7000,Signed,29.46 x 18.29,1899,Ink / Paper,183,"Sotheby's New York, Arcade","03/30/1999
                ",sold,18.29,29.46
House in Lancaster,90500,25000,35000,Signed,22.86 x 30.48,nogiven,Charcoal / Paper,156,Sotheby's New York,"12/03/1997
                ",sold,30.48,22.86
Squam Light,1267500,900000,1200000,Signed,60.96 x 73.66,1912,Oil / Canvas,160,Sotheby's New York,"12/03/1997
                ",sold,73.66,60.96
Young Boy and Girl Standing,0,7000,10000,Signed,50.80 x 36.07,1900,Ink / Paper,89,"Christie's New York, ""East""","10/07/1997
                ",sold,36.07,50.8
Seated Woman,0,7000,10000,Signed,57.15 x 36.07,1900,Ink / Paper,92,"Christie's New York, ""East""","10/07/1997
                ",sold,36.07,57.15
Horse and Buggy,8630,6000,8000,Signed,22.86 x 26.67,1943,Colored Pencil / Paper,174,"Christie's New York, ""East""","10/07/1997
                ",sold,26.67,22.86
Seated Gentleman with Tie,11500,6000,9000,Signed,45.72 x 25.40,nogiven,Oil / Canvas,52,Barridoff Galleries,"08/06/1997
                ",sold,25.4,45.72
Girl in White,29900,8000,10000,Signed,56.39 x 45.72,nogiven,Oil / Canvas,76,"Christie's New York, ""East""","04/23/1997
                ",sold,45.72,56.39
Ghost town rail crossing,12000,0,0,Signed,35.56 x 50.80,1928,Watercolor / Paper,79,Louisiana Auction Exchange Inc,"12/07/1996
                ",sold,50.8,35.56
Model in Towel Sitting On A,37380,18000,24000,Unavailable,30.48 x 25.40,nogiven,Oil / Canvas,169,Sotheby's New York,"12/05/1996
                ",sold,25.4,30.48
Davis House (Davis House,536000,300000,500000,Signed,35.05 x 50.80,nogiven,Watercolor / Paper,257,"Christie's New York, Rockefeller Center","12/04/1996
                ",sold,50.8,35.05
Studies for Nighthawks,190000,150000,250000,Unavailable,10.16 x 17.78,nogiven,Charcoal,270,"Christie's New York, Rockefeller Center","12/04/1996
                ",sold,17.78,10.16
Study for Light Battery at,36800,30000,50000,Signed,42.16 x 62.23,nogiven,Mixed Media / Paper,273,"Christie's New York, Rockefeller Center","12/04/1996
                ",sold,62.23,42.16
The Farm Family,21850,15000,25000,Signed,36.83 x 40.89,nogiven,Charcoal / Paper,279,"Christie's New York, Rockefeller Center","12/04/1996
                ",sold,40.89,36.83
Shoe Study,5520,5000,7000,Unavailable,17.78 x 24.13,nogiven,Charcoal / Paper,321,"Christie's New York, ""East""","12/03/1996
                ",sold,24.13,17.78
Seated Nude,0,6000,8000,Signed,38.10 x 28.45,nogiven,Colored Pencil / Paper,313,"Sotheby's New York, Arcade","10/30/1996
                ",sold,28.45,38.1
Standing Male Nude,0,8000,12000,Signed,31.75 x 21.59,1901,Colored Pencil / Paper,155,"Christie's New York, Rockefeller Center","09/27/1996
                ",sold,21.59,31.75
Five Cats: A Study,18400,8000,12000,Signed,33.02 x 30.48,nogiven,Conte Crayon / Paper,214,"Christie's New York, Rockefeller Center","09/27/1996
                ",sold,30.48,33.02
The Lewis Barn,0,100000,150000,Signed,34.29 x 49.53,1931,Watercolor / Paper,154,Sotheby's New York,"09/26/1996
                ",sold,49.53,34.29
Vue Du Quai A Le Pont,0,1500,2500,Signed,41.91 x 33.02,nogiven,Colored Pencil / Paper,1249,Bonhams California,"06/12/1996
                ",sold,33.02,41.91
Final Study for Nighthawks,827500,220000,280000,Signed,27.94 x 38.10,1941,Mixed Media / Paper,150,"Christie's New York, Rockefeller Center","05/23/1996
                ",sold,38.1,27.94
Charleston doorway study sketch,2000,0,0,Signed,22.86 x 33.02,1928,Pencil / Paper,159,Louisiana Auction Exchange Inc,"04/06/1996
                ",sold,33.02,22.86
Male Nude,8050,4000,6000,Signed,60.96 x 39.37,nogiven,Charcoal / Paper,209,"Sotheby's New York, Arcade","03/20/1996
                ",sold,39.37,60.96
French Six-Day Bicycle,772500,1000000,1500000,Signed,43.69 x 48.77,1937,Oil / Canvas,9,Sotheby's New York,"11/29/1995
                ",sold,48.77,43.69
House with Big Pine,277500,300000,400000,Signed,52.07 x 64.01,1935,Watercolor / Paper,13,Sotheby's New York,"11/29/1995
                ",sold,64.01,52.07
The Lewis Barn,0,150000,200000,Signed,34.29 x 49.53,1931,Watercolor / Paper,77,Sotheby's New York,"11/29/1995
                ",sold,49.53,34.29
South Truro Church,34500,25000,35000,Signed,9.40 x 22.86,1930,Watercolor / Paper,87,Sotheby's New York,"11/29/1995
                ",sold,22.86,9.4
"Dead Trees, Gloucester",40250,30000,50000,Signed,35.56 x 50.80,1923,Watercolor / Paper,88,Sotheby's New York,"11/29/1995
                ",sold,50.8,35.56
Standing Gentleman,4830,3000,4000,Signed,27.18 x 16.51,1899,Ink / Paper,109,"Christie's New York, ""East""","11/28/1995
                ",sold,16.51,27.18
Silos,3300,4000,6000,Signed,36.07 x 51.31,nogiven,Watercolor / Paper,67,Louisiana Auction Exchange Inc,"09/23/1995
                ",sold,51.31,36.07
Portrait of the Artist's Sist,9780,7000,10000,Unavailable,25.40 x 20.83,nogiven,Colored Pencil / Paper,217,Sotheby's New York,"09/14/1995
                ",sold,20.83,25.4
Portrait of Lilian Blauvelt,0,7000,10000,Unavailable,50.80 x 40.64,nogiven,Charcoal / Paper,219,Sotheby's New York,"09/14/1995
                ",sold,40.64,50.8
Indian Putting on Moccasin,9200,10000,15000,Unavailable,21.59 x 24.13,nogiven,Colored Pencil / Paper,159,Sotheby's New York,"03/15/1995
                ",sold,24.13,21.59
Jenness House No 3,162000,100000,150000,Signed,35.56 x 50.80,1934,Watercolor / Paper,163,Sotheby's New York,"03/15/1995
                ",sold,50.8,35.56
Trees,3000,2500,3000,Signed,34.29 x 48.26,1952,Watercolor / Paper,32,Louisiana Auction Exchange Inc,"12/10/1994
                ",sold,48.26,34.29
The Church at South Truro,0,6000,8000,Signed on Reverse,13.46 x 18.54,nogiven,Collage / Paper,113,"Christie's New York, Rockefeller Center","11/30/1994
                ",sold,18.54,13.46
"House and Trees, Gloucester",34500,25000,35000,Signed,29.72 x 44.45,nogiven,Charcoal / Paper,115,"Christie's New York, Rockefeller Center","11/30/1994
                ",sold,44.45,29.72
Standing Woman,5750,3000,5000,Signed,56.39 x 36.07,1899,Ink / Paper,122,Doyle New York,"11/09/1994
                ",sold,36.07,56.39
Sierra Madre at Monterrey,123500,60000,80000,Signed,53.59 x 75.44,1943,Watercolor / Paper,111,Sotheby's New York,"05/25/1994
                ",sold,75.44,53.59
Man Seated in an Interior,25300,25000,35000,Signed Initials,17.78 x 25.91,nogiven,Crayon / Paper,116,Sotheby's New York,"05/25/1994
                ",sold,25.91,17.78
Study for the Lee Shore,0,20000,30000,Unavailable,22.86 x 27.94,nogiven,Crayon / Paper,145,Sotheby's New York,"03/17/1994
                ",sold,27.94,22.86
Trees,2000,0,0,Signed and Dated,33.02 x 48.26,1952,Watercolor / Paper,12,Louisiana Auction Exchange Inc,"12/04/1993
                ",sold,48.26,33.02
Oregon Coast,85000,70000,90000,Unavailable,49.53 x 69.85,1941,Watercolor / Paper,140,Sotheby's New York,"12/02/1993
                ",sold,69.85,49.53
Self Portrait,0,15000,25000,Unavailable,26.16 x 21.59,nogiven,Crayon / Paper,191,"Christie's New York, Rockefeller Center","05/26/1993
                ",sold,21.59,26.16
Portrait of an Artist,23000,12000,18000,Signed on Reverse,45.72 x 35.56,nogiven,Oil / Canvas,152,Sotheby's New York,"03/10/1993
                ",sold,35.56,45.72
Vermont Sugar House,148500,175000,225000,Signed,35.56 x 50.80,1938,Watercolor / Paper,57,Sotheby's New York,"12/04/1992
                ",sold,50.8,35.56
Vermont sugar house,135000,0,0,Signed,35.56 x 50.80,nogiven,Watercolor / Paper,57,Sotheby's New York,"12/03/1992
                ",sold,50.8,35.56
Gloucester Houses,330000,300000,400000,Signed,40.64 x 55.12,nogiven,Watercolor / Paper,143,Sotheby's New York,"12/03/1992
                ",sold,55.12,40.64
Study: Light Battery at Gettysburg,0,40000,60000,Signed,41.91 x 61.47,1940,Mixed Media / Paper,195,Sotheby's New York,"09/24/1992
                ",sold,61.47,41.91
"Farmhouse at Essex, MA",143000,200000,300000,Signed,35.56 x 50.29,nogiven,Watercolor / Paper,234,"Christie's New York, Rockefeller Center","05/28/1992
                ",sold,50.29,35.56
The Yellow House,220000,80000,120000,Signed,29.72 x 45.72,nogiven,Watercolor / Paper,261,"Christie's New York, Rockefeller Center","09/26/1991
                ",sold,45.72,29.72
South Truro Church,30800,25000,45000,Signed,9.40 x 22.86,nogiven,Watercolor / Paper,97,Sotheby's New York,"09/25/1991
                ",sold,22.86,9.4
South Truro Church,2420000,2500000,3000000,Signed,73.66 x 109.22,nogiven,Oil / Canvas,104,Sotheby's New York,"11/29/1990
                ",sold,109.22,73.66
The Family,0,30000,50000,Signed,36.83 x 41.15,nogiven,Mixed Media / Paper,177,Sotheby's New York,"09/26/1990
                ",sold,41.15,36.83
Cat Study,11000,10000,15000,Signed,38.10 x 55.12,nogiven,Charcoal / Paper,178,Sotheby's New York,"09/26/1990
                ",sold,55.12,38.1
Study of Woman Knitting,7700,7000,9000,Unavailable,22.86 x 19.05,nogiven,Colored Pencil / Paper,179,Sotheby's New York,"09/26/1990
                ",sold,19.05,22.86
Study of heads,4000,0,0,Signed and Dated,45.72 x 35.56,1922,Charcoal,129,Frank H Boos Gallery,"06/08/1990
                ",sold,35.56,45.72
Tree in a Landscape,10450,8000,12000,Unavailable,49.53 x 32.26,nogiven,Watercolor / Paper,153,Weschler's Auctioneers & Appraisers,"05/12/1990
                ",sold,32.26,49.53
Male Nude Seated,18700,8000,10000,Unavailable,61.47 x 47.50,nogiven,Charcoal / Paper,288,"Christie's New York, Rockefeller Center","03/16/1990
                ",sold,47.5,61.47
Mount Moran,132000,100000,150000,Signed,52.58 x 72.39,nogiven,Watercolor / Paper,205,"Christie's New York, Rockefeller Center","12/01/1989
                ",sold,72.39,52.58
Portrait of a Man,88000,75000,100000,Signed,41.15 x 29.72,nogiven,Oil / Panel,381,"Christie's New York, Rockefeller Center","05/25/1989
                ",sold,29.72,41.15
Sultry Day,137510,125000,175000,Signed,34.29 x 48.77,nogiven,Watercolor / Paper,189,Sotheby's New York,"05/24/1989
                ",sold,48.77,34.29
"Trees, East Gloucester",23000,0,0,Signed,33.02 x 48.26,nogiven,Watercolor / Paper,227,Sotheby's New York,"12/01/1988
                ",sold,48.26,33.02
Moongazer,2800,0,0,Signed Initials,15.24 x 20.32,1923,Gouache,172,"Christie's New York, Rockefeller Center","11/30/1988
                ",sold,20.32,15.24
Souvenir de Noel 1922,3500,0,0,Inscribed and Signed,17.78 x 17.78,1922,Gouache,173,"Christie's New York, Rockefeller Center","11/30/1988
                ",sold,17.78,17.78
Figure Standing on a Bridge,4125,3000,4000,Signed,56.64 x 36.07,1899,Ink / Paper,254,"Sotheby's New York, Arcade","09/23/1988
                ",sold,36.07,56.64
"Souvenir de Noel, 1922",0,5000,7000,Unavailable,18.11 x 19.05,1922,Mixed Media,298,"Christie's New York, Rockefeller Center","05/26/1988
                ",sold,19.05,18.11
Christmas Card,0,800,1200,Unavailable,8.89 x 13.97,nogiven,Collage,299,"Christie's New York, Rockefeller Center","05/26/1988
                ",sold,13.97,8.89
Moongazer,0,5000,7000,Unavailable,17.15 x 22.23,nogiven,Ink,300,"Christie's New York, Rockefeller Center","05/26/1988
                ",sold,22.23,17.15
"Trees, East Gloucester",0,40000,60000,Unavailable,34.29 x 49.53,nogiven,Watercolor / Paper,256,Sotheby's New York,"05/25/1988
                ",sold,49.53,34.29
Study of woman knitting,8000,0,0,Unavailable,22.86 x 20.32,nogiven,Pencil / Paper,236,"Christie's New York, Rockefeller Center","03/11/1988
                ",sold,20.32,22.86
A steam fire engine,9500,0,0,Signed,48.26 x 60.96,nogiven,Charcoal,242,"Christie's New York, Rockefeller Center","03/11/1988
                ",sold,60.96,48.26
Captain Uptons House,2310000,1200000,1800000,Unavailable,72.39 x 92.08,nogiven,Oil / Canvas,304,Sotheby's New York,"12/03/1987
                ",sold,92.08,72.39
House on Cape Cod ,35200,25000,35000,Unavailable,35.56 x 53.34,nogiven,Charcoal,305,Sotheby's New York,"12/03/1987
                ",sold,53.34,35.56
Maine in Fog,52250,30000,40000,Unavailable,38.10 x 55.88,nogiven,Charcoal,306,Sotheby's New York,"12/03/1987
                ",sold,55.88,38.1
Hotel Window,1320000,1000000,1500000,Unavailable,101.60 x 139.70,nogiven,Oil / Canvas,315,Sotheby's New York,"12/03/1987
                ",sold,139.7,101.6
Woman at Sewing Machine,29700,15000,25000,Unavailable,24.13 x 21.59,nogiven,Crayon,318,Sotheby's New York,"12/03/1987
                ",sold,21.59,24.13
Dauphinee House,687500,500000,700000,Unavailable,86.36 x 127.64,nogiven,Oil / Canvas,331,Sotheby's New York,"12/03/1987
                ",sold,127.64,86.36
Cape Ann Granite,522500,200000,300000,Unavailable,71.12 x 101.60,nogiven,Oil / Canvas,335,Sotheby's New York,"12/03/1987
                ",sold,101.6,71.12
Standing woman,2000,0,0,Signed and Dated,55.88 x 35.56,1899,Pencil / Paper,179,Sotheby's New York,"10/24/1986
                ",sold,35.56,55.88
Study for Portrait of Orleans,17000,0,0,Unavailable,25.40 x 40.64,nogiven,Charcoal,233,Freeman's,"05/29/1986
                ",sold,40.64,25.4
House in Gloucester,95000,0,0,Inscribed and Signed,33.02 x 50.80,nogiven,Watercolor / Paper,234,Sotheby's New York,"05/29/1986
                ",sold,50.8,33.02
Study for Portrait of Orleans,4500,0,0,Unavailable,25.40 x 40.64,nogiven,Charcoal,242,Freeman's,"12/05/1985
                ",sold,40.64,25.4
Building with utility poles,7500,0,0,Unavailable,25.40 x 40.64,nogiven,Charcoal,243,Freeman's,"12/05/1985
                ",sold,40.64,25.4
Drawing of nude man,4000,0,0,Signed,60.96 x 38.10,nogiven,Charcoal,46,"Skinner Inc, Marlborough","11/26/1985
                ",sold,38.1,60.96
Study for 'Four Lane Road',11000,0,0,Unavailable,27.94 x 40.64,nogiven,Charcoal,220 a,Freeman's,"05/30/1985
                ",sold,40.64,27.94
Study for 'Office in small city',11500,0,0,Unavailable,22.86 x 27.94,nogiven,Charcoal,220 b,Freeman's,"05/30/1985
                ",sold,27.94,22.86
Study for 'Portrait of Orleans',5500,0,0,Unavailable,22.86 x 27.94,nogiven,Charcoal,220 c,Freeman's,"05/30/1985
                ",sold,27.94,22.86
Family home on Long Island,75000,0,0,Inscribed and Signed,20.32 x 33.02,nogiven,Watercolor / Paper,70,Barridoff Galleries,"05/11/1985
                ",sold,33.02,20.32
Culvert at Orangburg,3500,0,0,Inscribed and Signed,25.40 x 35.56,1900,Charcoal,259,"Christie's New York, Rockefeller Center","03/15/1985
                ",sold,35.56,25.4
Head of woman,2600,0,0,Signed and Dated,38.10 x 27.94,1899,Charcoal,304,Sotheby's New York,"06/22/1984
                ",sold,27.94,38.1
Light Battery at Gettysburg,20000,0,0,Signed,43.18 x 63.50,nogiven,Charcoal,191,Sotheby's New York,"05/31/1984
                ",sold,63.5,43.18
Night on the El train,65000,0,0,Inscribed and Signed,25.40 x 27.94,nogiven,Charcoal,268,"Christie's New York, Rockefeller Center","12/09/1983
                ",sold,27.94,25.4
Study for Les deux pigeons,18000,0,0,Inscribed and Signed,27.94 x 33.02,nogiven,Charcoal,271,"Christie's New York, Rockefeller Center","12/09/1983
                ",sold,33.02,27.94
Double-sided study,3000,0,0,Unavailable,48.26 x 27.94,nogiven,Pencil / Paper,275 a,"Christie's New York, Rockefeller Center","12/09/1983
                ",sold,27.94,48.26
Seated gentleman,6000,0,0,Signed and Dated,27.94 x 17.78,1901,Gouache / Board,275 b,"Christie's New York, Rockefeller Center","12/09/1983
                ",sold,17.78,27.94
Tree in landscape,5000,0,0,Signed,50.80 x 35.56,nogiven,Watercolor / Paper,1361,Weschler's Auctioneers & Appraisers,"10/02/1983
                ",sold,35.56,50.8
"Dead trees, Gloucester",40000,0,0,Signed and Dated,33.02 x 48.26,1923,Watercolor / Paper,211,Sotheby's New York,"06/02/1983
                ",sold,48.26,33.02
Study of woman knitting,4000,0,0,Unavailable,22.86 x 20.32,nogiven,Pencil / Paper,38,"Christie's New York, Rockefeller Center","03/18/1983
                ",sold,20.32,22.86
Mount Moran,50000,0,0,Signed,53.34 x 71.12,nogiven,Watercolor and pencil / Paper,149,Sotheby's New York,"06/04/1982
                ",sold,71.12,53.34
Rocks in Maine,3000,0,0,Signed,18.00 x 21.00,nogiven,Pencil / Paper,106,"Christie's New York, Rockefeller Center","04/07/1982
                ",sold,21.0,18.0
Head of a woman,3250,0,0,Signed and Dated,39.00 x 28.00,1899,Charcoal,149,Sotheby's New York,"03/11/1982
                ",sold,28.0,39.0
